nao,Decisao
agora nao quero,Decisao
legal vou aproveitar,Decisao
muito bom estou afim,Decisao
eu estou com vontade,Decisao
certo,Decisao
#Juntos,Decisao
ok,Decisao
Eu quero sim,Decisao
nao quero,Decisao
errada,Decisao
Esta e a resposta certa,Decisao
Esta resposta e correta,Decisao
errrada,Decisao
fotovalidatrue,Decisao
Eu topo,Decisao
partiu,Decisao
nao to afim,Decisao
Tchau estou indo,despedida
vou embora,despedida
ate mais,despedida
adeus ate nunca mais,despedida
Nao entendi nada do que vc ta falando,duvida
eu tenho duvidas sobre minha conta,duvida
como posso resolver minhas duvidas,duvida
preciso de ajuda,duvida
estou com duvidas,duvida
quem pode me ajudar com esta duvida,duvida
Eu quero uma pizza,Queropizza
Quero comer,Queropizza
Estou com fome,Queropizza
Que pizza tem pra comer,Queropizza
que pizza vcs fazem,Queropizza
po Bot,Saudacao
Fala mano,Saudacao
e ai bot tudo bem,Saudacao
E aee firmeza,Saudacao
Iniciar,Saudacao
ola,Saudacao
Vamos para o inicio,Saudacao
Quero comecar,Saudacao
start,Saudacao
ola como vai,Saudacao
boa noite,Saudacao
e ai tudo bem,Saudacao
tudo bom,Saudacao
comecar,Saudacao
e ai blzinha,Saudacao
Ola tudo bem,Saudacao
Fala aee,Saudacao
E ai Beleza como vai,Saudacao
Boa tarde,Saudacao
E aee mano,Saudacao
oi,Saudacao
Bom dia,Saudacao
voltar,voltar
quero voltar ao jogo,voltar
quero retornar ao jogo,voltar
Quero ir ao inicio,voltar
como saio desta parte,voltar
como faz para sair,voltar
quero voltar,voltar
inicio,voltar
